beta,num_iterations,voltage_amp,current_amp,amp_ratio,group,tensor,kind,cosine,relative_error,bp_norm,ep_norm,ep_bp_norm_ratio
0.0003,128,4.0,1.0,4.0,block_1/drive,drive_scale,other,1.0000000459149023,0.757072792892652,0.20084448158740997,0.0487905852496624,0.24292718855921436
0.0003,128,4.0,1.0,4.0,block_1/drn,W0,weight,0.08145808211617198,4.264666411824069,2.633267879486084,11.134090423583984,4.228240700584152
0.0003,128,4.0,1.0,4.0,block_1/drn,W1,weight,0.011881637299324977,2.4798078727600923,1.732204794883728,3.951232671737671,2.2810424514515284
0.0003,128,4.0,1.0,4.0,block_1/drn,b0,bias,0.1839151789840217,0.9875859885447136,0.04146399721503258,0.011592317372560501,0.2795754908153853
0.0003,128,4.0,1.0,4.0,block_1/drn,b1,bias,0.6053294333676547,0.8459991878428061,0.062354426831007004,0.01987430267035961,0.31873122215080185
0.0003,128,4.0,1.0,4.0,block_1/drn,b2,bias,0.7194590899301347,0.7957113431595595,0.10673511028289795,0.11823510378599167,1.1077433046409317
0.0003,128,4.0,1.0,4.0,block_1/ff,base_ff.0.bias,bias,0.6277465060090714,0.9427686580646947,0.039300598204135895,0.003768275026232004,0.09588340123116601
0.0003,128,4.0,1.0,4.0,block_1/ff,base_ff.0.weight,bias,0.5978153555432534,0.9413756056223707,0.56044602394104,0.05844670906662941,0.10428606247508701
0.0003,128,4.0,1.0,4.0,head,module.2.bias,other,0.9999999183777978,0.0,0.014658222906291485,0.014658222906291485,1.0
0.0003,128,4.0,1.0,4.0,head,module.2.weight,other,1.0008747847429538,0.0,1.8242290019989014,1.8242290019989014,1.0
0.0003,128,4.0,1.0,4.0,head,module.4.bias,other,0.9999998574690373,0.0,0.40013211965560913,0.40013211965560913,1.0
0.0003,128,4.0,1.0,4.0,head,module.4.weight,other,1.0000003944563218,0.0,5.808175563812256,5.808175563812256,1.0
0.001,128,4.0,1.0,4.0,block_0/drive,drive_scale,other,1.0000000009486347,0.9950682459084987,0.14084897935390472,0.0006946333451196551,0.004931759877182227
0.001,128,4.0,1.0,4.0,block_0/drn,W0,weight,0.2585229436600955,0.9948334791794053,1.302332878112793,0.02704525738954544,0.020766777714109966
0.001,128,4.0,1.0,4.0,block_0/drn,W1,weight,0.14137327065168903,0.996082869974337,1.1148452758789062,0.03463282063603401,0.03106513646813516
0.001,128,4.0,1.0,4.0,block_0/drn,b0,bias,0.9744533638248645,0.9960984735537844,0.707627534866333,0.002833448350429535,0.0040041521998783695
0.001,128,4.0,1.0,4.0,block_0/drn,b1,bias,0.9771410575449291,0.9844047206668548,1.6704518795013428,0.02667052112519741,0.015966051732755688
0.001,128,4.0,1.0,4.0,block_0/drn,b2,bias,0.8718094214648376,0.9385365339070377,2.477062702178955,0.17648009955883026,0.07124571348298493
0.001,128,4.0,1.0,4.0,block_0/ff,base_ff.0.bias,bias,0.9806270469945186,0.9966565828302997,0.2573215961456299,0.0008773747831583023,0.0034096430159781706
0.001,128,4.0,1.0,4.0,block_0/ff,base_ff.0.weight,bias,0.9873504667285952,0.9958293858048289,0.18257486820220947,0.000771250925026834,0.00422429950310927
0.001,128,4.0,1.0,4.0,block_1/drive,drive_scale,other,0.9999999574274154,0.8735743626212075,0.20084448158740997,0.025391895323991776,0.12642565592692628
0.001,128,4.0,1.0,4.0,block_1/drn,W0,weight,0.04507020924635492,2.361901055761818,2.633267879486084,5.75457239151001,2.1853349734524876
0.001,128,4.0,1.0,4.0,block_1/drn,W1,weight,0.047046708573474746,1.4411986081689863,1.732204794883728,1.8813462257385254,1.0860991906357171
0.001,128,4.0,1.0,4.0,block_1/drn,b0,bias,0.38142032192088293,0.9502308406152623,0.04146399721503258,0.0066913459450006485,0.16137725242212617
0.001,128,4.0,1.0,4.0,block_1/drn,b1,bias,0.9088866790910188,0.7615760031625977,0.062354426831007004,0.016938483342528343,0.2716484490898301
0.001,128,4.0,1.0,4.0,block_1/drn,b2,bias,0.9503295402705777,0.3236263331244786,0.10673511028289795,0.11090946197509766,1.039109452186218
0.001,128,4.0,1.0,4.0,block_1/ff,base_ff.0.bias,bias,0.8526428882438895,0.9406911531105132,0.039300598204135895,0.0027668678667396307,0.07040269087935798
0.001,128,4.0,1.0,4.0,block_1/ff,base_ff.0.weight,bias,0.8062748788243896,0.9405349981558535,0.56044602394104,0.042063239961862564,0.07505315082097486
0.001,128,4.0,1.0,4.0,head,module.2.bias,other,0.9999999183777978,0.0,0.014658222906291485,0.014658222906291485,1.0
0.001,128,4.0,1.0,4.0,head,module.2.weight,other,1.0008747847429538,0.0,1.8242290019989014,1.8242290019989014,1.0
0.001,128,4.0,1.0,4.0,head,module.4.bias,other,0.9999998574690373,0.0,0.40013211965560913,0.40013211965560913,1.0
0.001,128,4.0,1.0,4.0,head,module.4.weight,other,1.0000003944563218,0.0,5.808175563812256,5.808175563812256,1.0
0.003,128,4.0,1.0,4.0,block_0/drive,drive_scale,other,1.0000000157696332,0.9967517666494043,0.14084897935390472,0.00045750534627586603,0.0032481978099842207
0.003,128,4.0,1.0,4.0,block_0/drn,W0,weight,0.34430168608091877,0.9973985698541661,1.302332878112793,0.009936967864632607,0.0076301290028339295
0.003,128,4.0,1.0,4.0,block_0/drn,W1,weight,0.3845091437190404,0.9954130667236954,1.1148452758789062,0.013479366898536682,0.01209079608639863
0.003,128,4.0,1.0,4.0,block_0/drn,b0,bias,0.9876951824326192,0.9959576382115259,0.707627534866333,0.00289626675657928,0.004092925464137527
0.003,128,4.0,1.0,4.0,block_0/drn,b1,bias,0.9881028571799559,0.9838333131374634,1.6704518795013428,0.02733646146953106,0.0163647105343085
0.003,128,4.0,1.0,4.0,block_0/drn,b2,bias,0.9668489235755053,0.9357365099599078,2.477062702178955,0.1650385707616806,0.06662672310091464
0.003,128,4.0,1.0,4.0,block_0/ff,base_ff.0.bias,bias,0.9976277600635667,0.9961293819519405,0.2573215961456299,0.0009983782656490803,0.003879885250999504
0.003,128,4.0,1.0,4.0,block_0/ff,base_ff.0.weight,bias,0.9878290762077812,0.9960869681609925,0.18257486820220947,0.0007232705829665065,0.00396150132867933
0.003,128,4.0,1.0,4.0,block_1/drive,drive_scale,other,1.0000000140632568,0.8705318751532539,0.20084448158740997,0.02600296214222908,0.12946814339487975
0.003,128,4.0,1.0,4.0,block_1/drn,W0,weight,0.060477458759280706,1.34632230804096,2.633267879486084,2.5384178161621094,0.9639800933042613
0.003,128,4.0,1.0,4.0,block_1/drn,W1,weight,0.11460059299239131,1.0820557069620524,1.732204794883728,0.9417707324028015,0.5436832499161952
