scale,beta,group,tensor,cosine,relative_error,bp_norm,ep_norm,ep_bp_norm_ratio
4.0,0.001,block_1/drive,drive_scale,1.0000000206792583,0.935920557175618,3.06360839474884e-11,1.9631429728356187e-12,0.06407943574643979
4.0,0.001,block_1/drn,W0,0.9007211146524551,0.9351617688962771,6.943110530954755e-09,5.039457739997033e-10,0.07258213328924279
4.0,0.001,block_1/drn,W1,1.001917592080046,0.9374882475648485,7.571569149433799e-09,4.73264483158431e-10,0.06250546931791828
4.0,0.001,block_1/drn,b0,0.9999973125773308,0.9374995409938802,4.161031392868608e-05,2.6006996449723374e-06,0.06250132237477352
4.0,0.001,block_1/drn,b1,0.9987892534511952,0.7420380404088004,9.668542043073103e-05,2.4981987735372968e-05,0.25838422819158113
4.0,0.001,block_1/drn,b2,1.0000374736177982,1.4929642440684582e-07,0.009279097430408001,0.009279097430408001,1.0
4.0,0.01,head,module.2.weight,1.0050245802023616,0.0,4.0660768974021266e-08,4.0660768974021266e-08,1.0
4.0,0.01,head,module.2.bias,0.9999999729364742,0.0,0.3451355993747711,0.3451355993747711,1.0
4.0,0.01,head,module.4.weight,0.9999998960665483,0.0,0.01566709205508232,0.01566709205508232,1.0
4.0,0.01,head,module.4.bias,0.9999999345522926,0.0,0.6322246193885803,0.6322246193885803,1.0
4.0,0.01,block_0/ff,base_ff.0.weight,nan,1.0,2.997564002571451e-11,0.0,0.0
4.0,0.01,block_0/ff,base_ff.0.bias,nan,1.0,2.8762285955719058e-11,0.0,0.0
4.0,0.01,block_0/drive,drive_scale,nan,1.0,3.0636104764170113e-11,0.0,0.0
4.0,0.01,block_0/drn,W0,-0.007310315394458006,1534.4702435883482,9.710996451417486e-10,1.4901161193847656e-06,1534.4626340248096
4.0,0.01,block_0/drn,W1,-2.4915940868556118e-05,1.31826067634312,2.6740634151423137e-09,2.2968538182510656e-09,0.8589376771114559
4.0,0.01,block_0/drn,b0,nan,1.0,7.984149452688882e-10,0.0,0.0
4.0,0.01,block_0/drn,b1,0.0027905332397540872,2.30208980124883,4.61240068361235e-09,9.576941906175307e-09,2.076346476185763
4.0,0.01,block_0/drn,b2,0.05874105923440186,1.0028569610985325,9.784334054074861e-08,1.511810054921625e-08,0.15451333187995608
4.0,0.01,block_1/ff,base_ff.0.weight,0.9998002363987852,0.9375471600864872,3.513764973428479e-11,2.1949139554500174e-12,0.06246615729988276
4.0,0.01,block_1/ff,base_ff.0.bias,0.9999386073228667,0.9374857125503627,6.813277195760747e-07,4.259545249851726e-08,0.0625183025358492
4.0,0.01,block_1/drive,drive_scale,1.0000000150804953,0.937111180317658,3.06360839474884e-11,1.926668026508427e-12,0.06288884799411115
4.0,0.01,block_1/drn,W0,0.900929652332152,0.9351696361155253,6.943110530954755e-09,5.037814609920588e-10,0.07255846767036607
4.0,0.01,block_1/drn,W1,1.0019175941792935,0.9374883062170514,7.571569149433799e-09,4.732643721361285e-10,0.06250545465486756
4.0,0.01,block_1/drn,b0,1.0000008958680802,0.937500327861514,4.161031392868608e-05,2.6006603093264857e-06,0.06250037704074121
4.0,0.01,block_1/drn,b1,0.9987892068483264,0.742037965154873,9.668542043073103e-05,2.4981965907500125e-05,0.2583840024297988
4.0,0.01,block_1/drn,b2,1.0000374736177982,1.1477519221405468e-07,0.009279097430408001,0.009279097430408001,1.0
